"Col0","Col1","Col2"
7252,19829,0.059
7252,19830,0.171
7252,19831,0.191
7252,19832,0.094
7252,19833,0.033
7252,19834,0.027
7252,19835,0.048
7252,19836,0.05
7252,19837,0.051
7252,19838,0.051
7252,19839,0.048
7252,19840,0.047
7252,19841,0.048
7252,19842,0.042
7252,19843,0.047
7252,19844,0.048
7252,19845,0.047
7252,19846,0.048
7252,19847,0.047
7252,19848,0.045
7252,19901,0.046
7252,19902,0.045
7252,19903,0.047
7252,19904,0.048
7252,19905,0.047
7252,19906,0.047
7252,19907,0.047
7252,19908,0.047
7252,19909,0.044
7252,19910,0.037
7252,19911,0.036
7252,19912,0.037
7252,19913,0.048
7252,19914,0.048
7252,19915,0.047
7252,19916,0.047
7252,19917,0.047
7252,19918,0.045
7252,19919,0.041
7252,19920,0.028
7252,19921,0.037
7252,19922,0.048
7252,19923,0.048
7252,19924,0.049
7252,19925,0.046
7252,19926,0.046
7252,19927,0.03
7252,19928,0.039
7252,19929,0.037
7252,19930,0.045
7252,19931,0.044
7252,19932,0.044
7252,19933,0.047
7252,19934,0.046
7252,19935,0.046
7252,19936,0.044
7252,19937,0.045
7252,19938,0.034
7252,19939,0.029
7252,19940,0.042
7252,19941,0.046
7252,19942,0.046
7252,19943,0.046
7252,19944,0.044
7252,19945,0.046
7252,19946,0.04
7252,19947,0.031
7252,19948,0.034
7252,20001,0.044
7252,20002,0.046
7252,20003,0.045
7252,20004,0.046
7252,20005,0.047
7252,20006,0.044
7252,20007,0.029
7252,20008,0.032
7252,20009,0.046
7252,20010,0.045
7252,20011,0.044
7252,20012,0.044
7252,20013,0.047
7252,20014,0.044
7252,20015,0.029
7252,20016,0.028
7252,20017,0.044
7252,20018,0.046
7252,20019,0.045
7252,20020,0.043
7252,20021,0.043
7252,20022,0.044
7252,20023,0.043
7252,20024,0.044
7252,20025,0.046
7252,20026,0.035
7252,20027,0.036
7252,20028,0.035
7252,20029,0.049
7252,20030,0.044
7252,20031,0.038
7252,20032,0.037
7252,20033,0.044
7252,20034,0.045
7252,20035,0.044
7252,20036,0.044
7252,20037,0.046
7252,20038,0.054
7252,20039,0.067
7252,20040,0.048
7252,20041,0.039
7252,20042,0.075
7252,20043,0.076
7252,20044,0.08
7252,19822,1.069
7252,20101,0.054
7252,20102,0.038
7252,20103,0.079
7252,20104,0.079
7252,20113,0.075
7252,20114,0.075
7252,20115,0.041
7252,20116,0.046
7252,20117,0.082
7252,20105,0.072
7252,20106,0.039
7252,20107,0.054
7252,20108,0.077
7252,20109,0.076
7252,20110,0.058
7252,20111,0.048
7252,20112,0.097
7252,20126,0.074
7252,20127,0.069
7252,20128,0.065
7252,20129,0.06
7252,20130,0.762
7252,20131,0.119
7252,20132,0.075
7252,20133,0.042
7252,20134,0.055
7252,20135,0.054
7252,20136,0.054
7252,20137,0.054
7252,20138,0.051
7252,20139,0.052
7252,20140,0.052
7252,20141,0.037
7252,20142,0.06
7252,20143,0.043
7252,20144,0.042
7252,20145,0.046
7252,20146,0.049
7252,20147,0.05
7252,20148,0.051
7252,20201,0.051
7252,20202,0.051
7252,20203,0.05
7252,20204,0.05
7252,20205,0.042
7252,20206,0.036
7252,20207,0.037
7252,20208,0.049
7252,20209,0.05
7252,20118,0.074
7252,20119,0.06
7252,20120,0.038
7252,20121,0.063
7252,20122,0.081
7252,20123,0.076
7252,20124,0.044
7252,20125,0.043
7252,20310,0.046
7252,20311,0.045
7252,20312,0.047
7252,20313,0.046
7252,20314,0.04
7252,20315,0.034
7252,20316,0.033
7252,20317,0.045
7252,20318,0.046
7252,20319,1.053
7252,20320,0.977
7252,20321,0.17
7252,20322,0.149
7252,20323,0.158
7252,20324,0.041
7252,20325,0.034
7252,20326,0.036
7252,20327,0.046
7252,20328,0.046
7252,20329,0.046
7252,20330,0.047
7252,20331,0.046
7252,20332,0.046
7252,20333,0.034
7252,20334,0.031
7252,20335,0.041
7252,20336,0.046
7252,20337,0.047
7252,20338,0.047
7252,20339,0.045
7252,20340,0.047
7252,20341,0.046
7252,20342,0.039
7252,20343,0.032
7252,20344,0.034
7252,20345,0.046
7252,20346,0.047
7252,20347,0.046
7252,20348,0.047
7252,20401,0.046
7252,20402,0.047
7252,20403,0.032
7252,20404,0.029
7252,20405,0.046
7252,20406,0.048
7252,20407,0.048
7252,20408,0.046
7252,20409,0.046
7252,20410,0.045
7252,20411,0.03
7252,20412,0.03
7252,20413,0.047
7252,20414,0.047
7252,20415,0.045
7252,20416,0.046
7252,20417,0.047
7252,20418,0.039
7252,20419,0.027
7252,20420,0.038
7252,20421,0.045
7252,20422,0.045
7252,20423,0.046
7252,20424,0.046
7252,20425,0.045
7252,20426,0.039
7252,20427,0.031
7252,20428,0.039
7252,20429,0.047
7252,20430,0.046
7252,20431,0.045
7252,20432,0.044
7252,20433,0.045
7252,20434,0.045
7252,20210,0.05
7252,20211,0.049
7252,20212,0.048
7252,20213,0.058
7252,20214,0.042
7252,20215,0.034
7252,20216,0.033
7252,20217,0.047
7252,20218,0.048
7252,20219,0.049
7252,20220,0.045
7252,20221,0.047
7252,20222,0.048
7252,20223,0.04
7252,20224,0.029
7252,20225,0.035
7252,20226,0.046
7252,20227,0.047
7252,20228,0.046
7252,20229,0.046
7252,20230,0.046
7252,20231,0.044
7252,20232,0.029
7252,20233,0.029
7252,20234,0.046
7252,20235,0.043
7252,20236,0.045
7252,20237,0.045
7252,20238,0.046
7252,20239,0.046
7252,20240,0.044
7252,20241,0.045
7252,20242,0.039
7252,20243,0.044
7252,20244,0.042
7252,20245,0.043
7252,20246,0.043
7252,20247,0.042
7252,20248,0.044
7252,20301,0.042
7252,20302,0.04
7252,20303,0.04
7252,20304,0.047
7252,20305,0.045
7252,20306,0.046
7252,20307,0.048
7252,20308,0.047
7252,20309,0.047
7252,20535,0.039
7252,20536,0.048
7252,20537,0.047
7252,20538,0.046
7252,20539,0.045
7252,20540,0.044
7252,20541,0.03
7252,20542,0.031
7252,20543,0.047
7252,20544,0.045
7252,20545,0.046
7252,20546,0.045
7252,20547,0.047
7252,20548,0.038
7252,20601,0.025
7252,20602,0.041
7252,20603,0.046
7252,20604,0.046
7252,20605,0.046
7252,20606,0.046
7252,20607,0.046
7252,20608,0.028
7252,20609,0.031
7252,20610,0.046
7252,20611,0.046
7252,20612,0.046
7252,20613,0.046
7252,20614,0.042
7252,20615,0.023
7252,20616,0.04
7252,20617,0.046
7252,20618,0.046
7252,20619,0.045
7252,20620,0.04
7252,20621,0.019
7252,20622,0.041
7252,20623,0.057
7252,20624,0.95
7252,20625,0.069
7252,20626,0.044
7252,20627,0.04
7252,20628,0.032
7252,20629,0.03
7252,20630,0.043
7252,20631,0.046
7252,20632,0.045
7252,20633,0.046
7252,20634,0.046
7252,20635,0.045
7252,20636,0.034
7252,20637,0.025
7252,20638,0.043
7252,20639,0.046
7252,20640,0.047
7252,20641,0.047
7252,20642,0.05
7252,20643,0.029
7252,20644,0.031
7252,20645,0.047
7252,20646,0.047
7252,20647,0.047
7252,20648,0.047
7252,20515,0.047
7252,20516,0.049
7252,20517,0.048
7252,20518,0.038
7252,20519,0.024
7252,20520,0.044
7252,20521,0.047
7252,20522,0.047
7252,20523,0.048
7252,20524,0.047
7252,20525,0.041
7252,20526,0.048
7252,20435,0.043
7252,20436,0.033
7252,20437,0.042
7252,20438,0.035
7252,20439,0.048
7252,20440,0.047
7252,20441,0.048
7252,20442,0.048
7252,20443,0.046
7252,20444,0.046
7252,20445,0.036
7252,20446,0.028
7252,20447,0.042
7252,20448,0.047
7252,20501,0.048
7252,20502,0.048
7252,20503,0.047
7252,20504,0.042
7252,20505,0.028
7252,20506,0.036
7252,20507,0.048
7252,20508,0.047
7252,20509,0.047
7252,20510,0.045
7252,20511,0.045
7252,20512,0.031
7252,20513,0.029
7252,20514,0.046
7252,20528,0.046
7252,20529,0.046
7252,20530,0.046
7252,20531,0.044
7252,20532,0.045
7252,20533,0.037
7252,20534,0.028
7252,20527,0.055
7252,20701,0.038
7252,20702,0.025
7252,20703,0.044
7252,20704,0.047
7252,20705,0.048
7252,20706,0.046
7252,20707,0.048
7252,20708,0.025
7252,20709,0.034
7252,20710,0.046
7252,20711,0.047
7252,20712,0.045
7252,20713,0.043
7252,20714,0.045
7252,20715,0.024
7252,20716,0.037
7252,20717,0.046
7252,20718,0.048
7252,20719,0.044
7252,20720,0.045
7252,20721,0.04
7252,20722,0.023
7252,20723,0.041
7252,20724,0.129
7252,20725,0.283
7252,20726,0.311
7252,20727,0.328
7252,20728,0.501
7252,20729,0.142
7252,20730,0.144
7252,20731,0.063
7252,20732,0.044
7252,20733,0.047
7252,20734,0.401
7252,20735,0.111
7252,20736,0.085
7252,20737,0.134
7252,20738,0.146
7252,20739,0.045
7252,20740,0.041
7252,20741,0.092
7252,20742,0.073
7252,20743,0.281
7252,20744,0.042
7252,20745,0.069
7252,20746,0.022
7252,20747,0.062
7252,20748,0.061
7252,20801,0.024
7252,20802,0.069
7252,20803,0.016
7252,20804,0.072
7252,20805,0.016
7252,20806,0.069
7252,20807,0.02
7252,20808,0.078
7252,20809,0.019
7252,20810,0.067
7252,20811,0.019
7252,20812,0.067
7252,20813,0.024
7252,20814,0.058
7252,20815,0.025
7252,20816,0.065
7252,20817,0.313
7252,20818,0.491
7252,20819,0.528
7252,20820,0.733
7252,20821,0.375
7252,20822,0.186
7252,20823,0.237
7252,20824,0.352
7252,20825,0.567
7252,20826,0.886
7252,20827,0.069
7252,20828,0.248
7252,20829,0.047
7252,20830,0.039
7252,20831,0.057
7252,20832,0.059
7252,20833,0.059
7252,20834,0.059
7252,20835,0.058
7252,20836,0.058
7252,20837,0.222
7252,20838,0.849
7252,20839,1.006
7252,20840,0.543
7252,20841,0.597
7252,20842,0.137
7252,20843,0.067
7252,20844,0.066
7252,20845,0.142
7252,20846,0.164
7252,20847,0.15
7252,20848,0.071
7252,20901,0.07
7252,20902,0.061
7252,20903,0.036
7252,20904,0.069
7252,20905,0.069
7252,20906,0.028
7252,20907,0.07
7252,20908,0.07
7252,20909,0.045
7252,20910,0.061
7252,20911,0.079
7252,20912,0.028
7252,20913,0.07
7252,20914,0.07
7252,20915,0.027
7252,20916,0.07
7252,20917,0.027
7252,20918,0.144
7252,20919,0.505
7252,20920,0.1
7252,20921,2.826
7252,20922,1.391
7252,20923,0.808
7252,20924,0.137
7252,20925,0.061
7252,20926,0.73
7252,20927,0.408
7252,20928,0.103
7252,20929,0.052
7252,20930,0.061
7252,20931,0.061
7252,20932,0.201
7252,20933,0.163
7252,20934,0.149
7252,20935,0.143
7252,20936,0.124
7252,20937,0.24
7252,20938,0.141
7252,20939,0.116
7252,20940,0.102
7252,20941,0.111
7252,20942,0.132
7252,20943,0.061
7252,20944,0.04
7252,20945,0.068
7252,20946,0.093
7252,20947,0.055
7252,20948,0.055
7252,21001,0.069
7252,21002,0.04
7252,21003,0.058
7252,21004,0.069
7252,21005,0.027
7252,21006,0.088
7252,21007,0.069
7252,21008,0.028
7252,21009,0.07
7252,21010,0.028
7252,21011,0.071
7252,21012,0.06
7252,21013,0.039
7252,21014,0.074
7252,21015,0.074
7252,21016,0.054
7252,21017,0.057
7252,21018,0.073
7252,21019,0.335
7252,21020,0.275
7252,21021,1.041
7252,21022,0.582
7252,21023,1.737
7252,21024,0.325
7252,21025,0.103
7252,21026,0.351
7252,21027,0.061
7252,21028,0.057
7252,21029,0.274
7252,21030,0.062
7252,21031,0.056
7252,21032,0.055
7252,21033,0.055
7252,21034,0.056
7252,21035,0.056
7252,21036,0.378
7252,21037,0.282
7252,21038,0.242
7252,21039,0.257
7252,21040,0.504
7252,21041,0.183
7252,21042,0.221
7252,21043,0.071
7252,21044,0.066
7252,21045,0.066
7252,21046,0.17
7252,21047,0.179
7252,21048,0.138
7252,21101,0.072
7252,21102,0.073
7252,21103,0.073
7252,21104,0.074
7252,21105,0.074
7252,21106,0.057
7252,21107,0.055
7252,21108,0.069
7252,21109,0.072
7252,21110,0.07
7252,21111,0.071
7252,21112,0.071
7252,21113,0.072
7252,21114,0.068
7252,21115,0.055
7252,21116,0.058
7252,21117,0.064
7252,21118,0.3
7252,21119,1.465
7252,21120,1.021
7252,21121,2.092
7252,21122,2.44
7252,21123,0.06
7252,21124,0.053
7252,21125,0.053
7252,21126,0.049
7252,21127,0.043
7252,21128,0.042
7252,21129,0.045
7252,21130,0.054
7252,21131,0.055
7252,21132,0.054
7252,21133,0.054
7252,21134,0.054
7252,21135,0.054
7252,21136,0.055
7252,21137,0.045
7252,21138,0.04
7252,21139,0.048
7252,21140,0.12
7252,21141,0.458
7252,21142,0.227
7252,21143,0.402
7252,21144,0.38
7252,21145,0.271
7252,21146,0.268
7252,21147,0.268
7252,21148,0.265
7252,21201,0.102
7252,21202,0.069
7252,21203,0.068
7252,21204,0.066
7252,21205,0.065
7252,21206,0.068
7252,21207,0.074
7252,21208,0.073
7252,21209,0.076
7252,21210,0.073
7252,21211,0.073
7252,21212,0.076
7252,21213,0.074
7252,21214,0.073
7252,21215,0.06
7252,21216,0.059
7252,21217,0.069
7252,21218,0.074
7252,21219,0.073
7252,21220,0.432
7252,21221,0.252
7252,21222,0.127
7252,21223,1.246
7252,21224,2.684
7252,21225,0.871
7252,21226,0.451
7252,21227,0.5
7252,21228,0.204
7252,21229,0.076
7252,21230,0.06
7252,21231,0.057
7252,21232,0.055
7252,21233,0.042
7252,21234,0.041
7252,21235,0.056
7252,21236,0.21
7252,21237,0.56
7252,21238,0.355
7252,21239,0.11
7252,21240,0.062
7252,21241,0.092
7252,21242,0.076
7252,21243,0.189
7252,21244,0.134
7252,21245,0.064
7252,21246,0.101
7252,21247,0.061
7252,21248,0.118
7252,21301,0.074
7252,21302,0.074
7252,21303,0.075
7252,21304,0.075
7252,21305,0.076
7252,21306,0.095
7252,21307,0.076
7252,21308,0.064
7252,21309,0.058
7252,21310,0.068
7252,21311,0.075
7252,21312,0.075
7252,21313,0.072
7252,21314,0.074
7252,21315,0.075
7252,21316,0.056
7252,21317,0.058
7252,21318,0.519
7252,21319,0.604
7252,21320,1.884
7252,21321,0.957
7252,21322,0.966
7252,21323,0.165
7252,21324,0.052
7252,21325,0.056
7252,21326,0.058
7252,21327,0.184
7252,21328,0.204
7252,21329,0.055
7252,21330,0.056
7252,21331,0.056
7252,21332,0.057
7252,21333,0.056
7252,21334,0.056
7252,21335,0.053
7252,21336,0.041
7252,21337,0.037
7252,21338,0.055
7252,21339,0.054
7252,21340,0.064
7252,21341,0.056
7252,21342,0.054
7252,21343,0.054
7252,21344,0.146
7252,21345,0.088
7252,21346,0.083
7252,21347,0.235
7252,21348,0.295
7252,21401,0.3
7252,21402,0.299
7252,21403,0.231
7252,21404,0.141
7252,21405,0.121
7252,21406,0.125
7252,21407,0.141
7252,21408,0.142
7252,21409,0.093
7252,21410,0.074
7252,21411,0.048
7252,21412,0.063
7252,21413,0.075
7252,21414,0.074
7252,21415,0.073
7252,21416,0.059
7252,21417,0.051
7252,21418,0.072
7252,21419,0.167
7252,21420,0.365
7252,21421,1.307
7252,21422,0.75
7252,21423,2.06
7252,21424,1.818
7252,21425,0.08
7252,21426,0.25
7252,21427,0.367
7252,21428,0.072
7252,21429,0.386
7252,21430,0.237
7252,21431,0.664
7252,21432,0.131
7252,21433,0.059
7252,21434,0.059
7252,21435,0.06
7252,21436,0.067
7252,21437,0.78
7252,21438,0.946
7252,21439,0.231
7252,21440,0.209
7252,21441,0.223
7252,21442,0.251
7252,21443,0.362
7252,21444,0.437
7252,21445,0.379
7252,21446,0.148
7252,21447,0.209
7252,21448,0.18
7252,21501,0.251
7252,21502,0.21
7252,21503,0.055
7252,21504,0.092
7252,21505,0.122
7252,21506,0.044
7252,21507,0.031
7252,21508,0.051
7252,21509,0.013
7252,21510,0.05
7252,21511,0.052
7252,21512,0.011
7252,21513,0.052
7252,21514,0.011
7252,21515,0.052
7252,21516,0.03
7252,21517,0.032
7252,21518,0.37
7252,21519,0.036
7252,21520,0.156
7252,21521,1.053
7252,21522,1.909
7252,21523,0.208
7252,21524,1.463
7252,21525,0.14
7252,21526,0.116
7252,21527,0.024
7252,21528,0.061
7252,21529,0.062
7252,21530,0.037
7252,21531,0.045
7252,21532,0.065
7252,21533,0.02
7252,21534,0.063
7252,21535,0.048
7252,21536,0.034
7252,21537,0.061
7252,21538,0.056
7252,21539,0.063
7252,21540,0.02
7252,21541,0.064
7252,21542,0.053
7252,21543,0.031
7252,21544,0.063
7252,21545,0.164
7252,21546,0.158
7252,21547,0.112
7252,21548,0.092
7252,21601,0.092
7252,21602,0.019
7252,21603,0.064
7252,21604,0.019
7252,21605,0.066
7252,21606,0.019
7252,21607,0.063
7252,21608,0.029
7252,21609,0.058
7252,21610,0.04
7252,21611,0.045
7252,21612,0.051
7252,21613,0.035
7252,21614,0.06
7252,21615,0.023
7252,21616,0.064
7252,21617,0.02
7252,21618,0.064
7252,21619,0.019
7252,21620,0.32
7252,21621,0.198
7252,21622,2.428
7252,21623,1.186
7252,21624,0.644
7252,21625,0.32
7252,21626,0.094
7252,21627,0.055
7252,21628,0.091
7252,21629,0.058
7252,21630,0.052
7252,21631,0.015
7252,21632,0.05
7252,21633,0.054
7252,21634,0.048
7252,21635,0.017
7252,21636,0.053
7252,21637,0.056
7252,21638,0.177
7252,21639,0.084
7252,21640,0.058
7252,21641,0.07
7252,21642,0.059
7252,21643,0.11
7252,21644,0.067
7252,21645,0.13
7252,21646,0.276
7252,21647,0.274
7252,21648,0.103
7252,21701,0.03
7252,21702,0.068
7252,21703,0.071
7252,21704,0.067
7252,21705,0.033
7252,21706,0.072
7252,21707,0.072
7252,21708,0.028
7252,21709,0.074
7252,21710,0.071
7252,21711,0.028
7252,21712,0.072
7252,21713,0.07
7252,21714,0.028
7252,21715,0.069
7252,21716,0.07
7252,21717,0.224
7252,21718,0.201
7252,21719,0.057
7252,21720,1.606
7252,21721,1.464
7252,21722,0.428
7252,21723,0.057
7252,21724,0.413
7252,21725,0.063
7252,21726,0.386
7252,21727,0.199
7252,21728,0.314
7252,21729,0.124
7252,21730,0.131
7252,21731,0.055
7252,21732,0.112
7252,21733,0.012
7252,21734,0.052
7252,21735,0.057
7252,21736,0.041
7252,21737,0.028
7252,21738,0.464
7252,21739,0.193
7252,21740,0.08
7252,21741,0.012
7252,21742,0.152
7252,21743,0.095
7252,21744,0.068
7252,21745,0.235
7252,21746,0.282
7252,21747,0.234
7252,21748,0.071
7252,21801,0.028
7252,21802,0.071
7252,21803,0.068
7252,21804,0.032
7252,21805,0.072
7252,21806,0.043
7252,21807,0.058
7252,21808,0.072
7252,21809,0.029
7252,21810,0.071
7252,21811,0.044
7252,21812,0.057
7252,21813,0.07
7252,21814,0.017
7252,21815,0.06
7252,21816,0.016
7252,21817,0.061
7252,21818,0.017
7252,21819,0.529
7252,21820,3.324
7252,21821,2.136
7252,21822,1.138
7252,21823,0.288
7252,21824,0.043
7252,21825,0.059
7252,21826,0.047
7252,21827,0.025
7252,21828,0.058
7252,21829,0.017
7252,21830,0.057
7252,21831,0.057
7252,21832,0.015
7252,21833,0.06
7252,21834,0.015
7252,21835,0.057
7252,21836,0.043
7252,21837,0.031
7252,21838,0.058
7252,21839,0.014
7252,21840,0.058
7252,21841,0.015
7252,21842,0.058
7252,21843,0.034
7252,21844,0.039
7252,21845,0.058
7252,21846,0.015
7252,21847,0.059
7252,21848,0.015
7252,22404,0.044
7252,22405,0.067
7252,22406,0.024
7252,22227,1.605
7252,22228,0.072
7252,22229,0.035
7252,22230,0.034
7252,22231,0.054
7252,22232,0.022
7252,22233,0.043
7252,22234,0.071
7252,22235,0.692
7252,22236,0.166
7252,22237,0.052
7252,22238,0.054
7252,22239,0.03
7252,22240,0.313
7252,22241,0.105
7252,22242,0.111
7252,22243,0.074
7252,22244,0.172
7252,22245,0.167
7252,22246,0.085
7252,22247,0.066
7252,22248,0.065
7252,22301,0.025
7252,22302,0.068
7252,22303,0.032
7252,22304,0.052
7252,22305,0.057
7252,22306,0.012
7252,22307,0.057
7252,22308,0.012
7252,22309,0.057
7252,22310,0.042
7252,22311,0.028
7252,22312,0.057
7252,22313,0.012
7252,22314,0.057
7252,22315,0.012
7252,22316,0.058
7252,22317,0.032
7252,22318,0.038
7252,22319,0.63
7252,22320,1.057
7252,22321,0.253
7252,22322,0.554
7252,22323,0.247
7252,22324,0.619
7252,22325,1.367
7252,22326,0.708
7252,22327,0.126
7252,22328,0.085
7252,22329,0.115
7252,22330,0.078
7252,22331,0.036
7252,22332,0.029
7252,22333,0.054
7252,22334,0.031
7252,22335,0.036
7252,22336,0.053
7252,22337,0.031
7252,22338,0.284
7252,22339,0.662
7252,22340,0.094
7252,22341,0.046
7252,22342,0.239
7252,22343,0.247
7252,22344,0.242
7252,22345,0.204
7252,22346,0.193
7252,22347,0.192
7252,22348,0.047
7252,22401,0.041
7252,22402,0.066
7252,22403,0.054
7252,21901,0.06
7252,21902,0.015
7252,21903,0.059
7252,21904,0.015
7252,21905,0.059
7252,21906,0.011
7252,21907,0.056
7252,21908,0.016
7252,21909,0.05
7252,21910,0.025
7252,21911,0.044
7252,21912,0.028
7252,21913,0.048
7252,21914,0.061
7252,21915,0.059
7252,21916,0.059
7252,21917,0.031
7252,21918,0.047
7252,21919,0.057
7252,21920,0.056
7252,21921,0.056
7252,21922,0.048
7252,21923,0.805
7252,21924,0.17
7252,21925,0.084
7252,21926,0.064
7252,21927,0.06
7252,21928,0.036
7252,21929,0.771
7252,21930,0.161
7252,21931,0.071
7252,21932,0.06
7252,21933,0.042
7252,21934,0.043
7252,21935,0.06
7252,21936,0.06
7252,21937,0.058
7252,21938,0.06
7252,21939,0.053
7252,21940,0.044
7252,21941,0.047
7252,21942,0.058
7252,21943,0.06
7252,21944,0.06
7252,21945,0.225
7252,21946,0.475
7252,21947,0.213
7252,21948,0.101
7252,22001,0.1
7252,22002,0.115
7252,22003,0.118
7252,22004,0.117
7252,22005,0.118
7252,22006,0.119
7252,22007,0.107
7252,22008,0.099
7252,22009,0.114
7252,22010,0.124
7252,22011,0.075
7252,22012,0.073
7252,22013,0.074
7252,22014,0.074
7252,22015,0.058
7252,22016,0.041
7252,22017,0.062
7252,22018,0.06
7252,22019,0.223
7252,22020,0.123
7252,22021,2.747
7252,22022,0.685
7252,22023,1.838
7252,22024,0.135
7252,22025,1.363
7252,22026,0.313
7252,22027,0.062
7252,22028,0.858
7252,22029,0.086
7252,22030,0.013
7252,22031,0.052
7252,22032,0.051
7252,22033,0.012
7252,22034,0.053
7252,22035,0.03
7252,22036,0.531
7252,22037,0.515
7252,22038,0.768
7252,22039,0.141
7252,22040,0.562
7252,22041,0.588
7252,22042,0.231
7252,22043,0.014
7252,22044,0.171
7252,22045,0.271
7252,22046,0.266
7252,22047,0.232
7252,22048,0.142
7252,22101,0.033
7252,22102,0.053
7252,22103,0.053
7252,22104,0.012
7252,22105,0.053
7252,22106,0.055
7252,22107,0.012
7252,22108,0.054
7252,22109,0.054
7252,22110,0.013
7252,22111,0.054
7252,22112,0.052
7252,22113,0.015
7252,22114,0.055
7252,22115,0.012
7252,22116,0.055
7252,22117,0.178
7252,22118,0.7
7252,22119,1.693
7252,22120,0.087
7252,22121,0.23
7252,22122,0.934
7252,22123,0.012
7252,22124,0.052
7252,22125,0.055
7252,22126,0.636
7252,22127,0.402
7252,22128,0.209
7252,22129,0.057
7252,22130,0.05
7252,22131,0.02
7252,22132,0.055
7252,22133,0.044
7252,22134,0.027
7252,22135,0.483
7252,22136,0.567
7252,22137,0.42
7252,22138,0.116
7252,22139,0.049
7252,22140,0.051
7252,22141,0.112
7252,22142,0.271
7252,22143,0.049
7252,22144,0.044
7252,22145,0.067
7252,22146,0.135
7252,22147,0.154
7252,22148,0.163
7252,22201,0.18
7252,22202,0.163
7252,22203,0.157
7252,22204,0.155
7252,22205,0.049
7252,22206,0.048
7252,22207,0.07
7252,22208,0.019
7252,22209,0.058
7252,22210,0.05
7252,22211,0.024
7252,22212,0.06
7252,22213,0.016
7252,22214,0.06
7252,22215,0.024
7252,22216,0.053
7252,22217,0.052
7252,22218,0.025
7252,22219,0.06
7252,22220,0.337
7252,22221,0.048
7252,22222,0.292
7252,22223,0.073
7252,22224,0.23
7252,22225,0.885
